ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
32   64   0.955234   32   128   1536   3518994   65536
32   64   0.870677   64   128   1536   3857075   32768
32   64   0.871380   96   128   1536   3864211   21844
32   64   0.808815   128   128   1536   4162101   16384
32   64   0.814712   160   128   1536   4163903   13104
32   64   0.818915   192   128   1536   4144568   10920
32   64   0.822971   224   128   1536   4164943   9360
32   64   0.832376   256   128   1536   4148270   8192
32   64   0.826129   288   128   1536   4142217   7280
32   64   0.825276   320   128   1536   4256565   6552
32   63   0.802980   32   224   2500   4185697   65534
32   63   0.809071   64   224   2500   4157096   32767
32   63   0.878215   96   224   2500   3833794   21840
32   63   0.809665   128   224   2500   4187199   16380
32   63   0.818837   160   224   2500   4163629   13104
32   63   0.830395   192   224   2500   4128905   10920
32   63   0.828759   224   224   2500   4157155   9359
32   63   0.836761   256   224   2500   4135566   8190
32   63   0.821365   288   224   2500   4128323   7280
32   63   0.827813   320   224   2500   4218270   6552
32   60   0.802645   32   160   2048   4187774   65535
32   60   0.808219   64   160   2048   4159821   32765
32   60   0.808913   96   160   2048   4168063   21845
32   60   0.811479   128   160   2048   4153426   16380
32   60   0.858936   160   160   2048   3918784   13105
32   60   0.813646   192   160   2048   4215929   10920
32   60   0.821150   224   160   2048   4146290   9360
32   60   0.822276   256   160   2048   4141445   8190
32   60   0.819553   288   160   2048   4265464   7280
32   60   0.836740   320   160   2048   4175532   6550
32   58   0.796546   32   64   820   4218555   65536
32   58   0.803831   64   64   820   4183814   32768
32   58   0.805669   96   64   820   4171415   21844
32   58   0.807901   128   64   820   4175307   16384
32   58   0.809502   160   64   820   4189267   13106
32   58   0.810823   192   64   820   4177008   10922
32   58   0.870880   224   64   820   3935121   9362
32   58   0.805341   256   64   820   4243579   8192
32   58   0.804364   288   64   820   4204544   7280
32   58   0.813003   320   64   820   4170456   6552
32   57   0.802610   32   96   1250   4187790   65535
32   57   0.808534   64   96   1250   4157613   32766
32   57   0.810033   96   96   1250   4154034   21843
32   57   0.813620   128   96   1250   4145554   16383
32   57   0.810161   160   96   1250   4166421   13107
32   57   0.815678   192   96   1250   4141771   10920
32   57   0.816946   224   96   1250   4189708   9360
32   57   0.814856   256   96   1250   4217069   8190
32   57   0.823199   288   96   1250   4174185   7281
32   57   0.883589   320   96   1250   3852046   6552
32   56   0.867420   32   128   1700   3871587   65536
32   56   0.808066   64   128   1700   4159919   32768
