ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
128   64   3.484661   32   128   768   5513583   65536
128   64   3.479036   64   128   768   5522746   32768
128   64   3.472113   96   128   768   5532383   21844
128   64   3.465640   128   128   768   5553679   16384
128   64   3.460101   160   128   768   5581610   13104
128   64   3.467436   192   128   768   5583607   10920
128   64   3.491465   224   128   768   5586228   9360
128   64   3.396756   256   128   768   5714643   8192
128   64   3.397384   288   128   768   5763904   7280
128   64   3.418551   320   128   768   5652582   6552
128   63   3.460770   32   224   1230   5546645   65534
128   63   3.455899   64   224   1230   5560828   32767
128   63   3.460749   96   224   1230   5571809   21840
128   63   3.484494   128   224   1230   5586398   16380
128   63   3.467380   160   224   1230   5567115   13104
128   63   3.422621   192   224   1230   5664819   10920
128   63   3.422322   224   224   1230   5718512   9359
128   63   3.480093   256   224   1230   5794787   8190
128   63   3.354669   288   224   1230   5800408   7280
128   63   3.359979   320   224   1230   5746836   6552
128   60   3.427233   32   160   1024   5601105   65535
128   60   3.415860   64   160   1024   5624040   32765
128   60   3.409473   96   160   1024   5652462   21845
128   60   3.407148   128   160   1024   5650688   16380
128   60   3.439766   160   160   1024   5608333   13105
128   60   3.415074   192   160   1024   5736921   10920
128   60   3.354990   224   160   1024   5786915   9360
128   60   3.405696   256   160   1024   5664830   8190
128   60   3.382451   288   160   1024   5741577   7280
128   60   3.385417   320   160   1024   5748692   6550
128   56   3.395428   32   128   769   5652036   65536
128   56   3.394988   64   128   769   5657746   32768
128   56   3.378276   96   128   769   5687841   21844
128   56   3.401228   128   128   769   5652233   16384
128   56   3.375610   160   128   769   5705778   13104
128   56   3.354836   192   128   769   5774089   10920
128   56   3.447795   224   128   769   5587646   9360
128   56   3.333390   256   128   769   5783845   8192
128   56   3.276394   288   128   769   5870529   7280
128   56   3.277096   320   128   769   5867275   6552
128   55   3.362263   32   160   1030   5708712   65535
128   55   3.345268   64   160   1030   5744964   32765
128   55   3.330013   96   160   1030   5775608   21845
128   55   3.322837   128   160   1030   5793474   16380
128   55   3.311737   160   160   1030   5881668   13105
128   55   3.293979   192   160   1030   5971840   10920
128   55   3.242163   224   160   1030   5957988   9360
128   55   3.289593   256   160   1030   5899882   8190
128   55   3.282922   288   160   1030   5860808   7280
128   55   3.277086   320   160   1030   5968702   6550
128   54   3.391718   32   192   1230   5659527   65532
128   54   3.379865   64   192   1230   5686306   32766
128   54   3.360157   96   192   1230   5729402   21840
128   54   3.347347   128   192   1230   5747173   16380
128   54   3.344312   160   192   1230   5851131   13104
128   54   3.298537   192   192   1230   5829012   10920
128   54   3.272816   224   192   1230   5895955   9360
128   54   3.313693   256   192   1230   5833721   8190
128   54   3.308518   288   192   1230   5946978   7278
128   54   3.280914   320   192   1230   5931817   6552
