ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
128   64   2.939296   32   128   1536   4582362   65536
128   64   2.942100   64   128   1536   4577984   32768
128   64   2.941553   96   128   1536   4592006   21844
128   64   2.949423   128   128   1536   4572071   16384
128   64   2.939435   160   128   1536   4614552   13104
128   64   2.938593   192   128   1536   4605657   10920
128   64   2.925048   224   128   1536   4623995   9360
128   64   2.939067   256   128   1536   4617828   8192
128   64   2.936233   288   128   1536   4619242   7280
128   64   2.875388   320   128   1536   4852310   6552
128   63   2.953042   32   224   2500   4558517   65534
128   63   2.966618   64   224   2500   4539538   32767
128   63   2.956273   96   224   2500   4560085   21840
128   63   2.936286   128   224   2500   4605099   16380
128   63   2.941851   160   224   2500   4611184   13104
128   63   2.959193   192   224   2500   4605663   10920
128   63   3.008881   224   224   2500   4673710   9359
128   63   2.931780   256   224   2500   4735551   8190
128   63   2.955537   288   224   2500   4614200   7280
128   63   2.863866   320   224   2500   4744483   6552
128   60   2.911025   32   160   2048   4622443   65535
128   60   2.936249   64   160   2048   4588485   32765
128   60   2.935155   96   160   2048   4593173   21845
128   60   2.940213   128   160   2048   4593968   16380
128   60   2.941798   160   160   2048   4585979   13105
128   60   2.932859   192   160   2048   4623643   10920
128   60   2.910752   224   160   2048   4647235   9360
128   60   2.960254   256   160   2048   4582629   8190
128   60   2.898836   288   160   2048   4801177   7280
128   60   2.906723   320   160   2048   4886784   6550
128   58   2.917670   32   64   820   4610275   65536
128   58   2.936075   64   64   820   4580496   32768
128   58   2.921735   96   64   820   4609213   21844
128   58   2.926226   128   64   820   4600818   16384
128   58   2.908176   160   64   820   4643364   13106
128   58   2.901594   192   64   820   4646231   10922
128   58   2.889828   224   64   820   4689999   9362
128   58   2.871675   256   64   820   4728115   8192
128   58   2.868454   288   64   820   4780025   7280
128   58   2.954890   320   64   820   4627405   6552
128   57   2.903208   32   96   1250   4631496   65535
128   57   2.925668   64   96   1250   4599258   32766
128   57   2.929387   96   96   1250   4604722   21843
128   57   2.923503   128   96   1250   4608373   16383
128   57   2.908891   160   96   1250   4641270   13107
128   57   2.914133   192   96   1250   4620033   10920
128   57   2.900052   224   96   1250   4648968   9360
128   57   2.909178   256   96   1250   4642424   8190
128   57   2.903903   288   96   1250   4659198   7281
128   57   2.883371   320   96   1250   4705330   6552
128   56   2.909209   32   128   1700   4622479   65536
128   56   2.923370   64   128   1700   4600485   32768
128   56   2.919433   96   128   1700   4616359   21844
128   56   2.932486   128   128   1700   4600652   16384
128   56   2.955667   160   128   1700   4572688   13104
128   56   2.916646   192   128   1700   4638131   10920
128   56   2.909979   224   128   1700   4638662   9360
128   56   2.913067   256   128   1700   4661683   8192
128   56   2.915429   288   128   1700   4699046   7280
128   56   2.943604   320   128   1700   4598369   6552
128   55   2.886852   32   160   2049   4664138   65535
128   55   2.896971   64   160   2049   4649686   32765
128   55   2.908678   96   160   2049   4632300   21845
128   55   2.916263   128   160   2049   4614986   16380
128   55   2.912062   160   160   2049   4646167   13105
128   55   2.889909   192   160   2049   4666549   10920
128   55   2.894966   224   160   2049   4709535   9360
128   55   2.893977   256   160   2049   4792894   8190
128   55   2.924746   288   160   2049   4770453   7280
128   55   2.932439   320   160   2049   4620098   6550
128   54   2.925558   32   192   2500   4605440   65532
128   54   2.904331   64   192   2500   4637488   32766
128   54   2.915490   96   192   2500   4620773   21840
128   54   2.913802   128   192   2500   4628940   16380
128   54   2.892424   160   192   2500   4682958   13104
128   54   2.891257   192   192   2500   4742370   10920
128   54   2.904255   224   192   2500   4717601   9360
128   54   2.892614   256   192   2500   4720499   8190
128   54   2.910438   288   192   2500   4718623   7278
128   54   2.846986   320   192   2500   4861850   6552
128   52   2.871413   32   128   1800   4690321   65536
128   52   2.890920   64   128   1800   4657150   32768
128   52   2.886732   96   128   1800   4664744   21844
128   52   2.897266   128   128   1800   4653861   16384
128   52   2.886438   160   128   1800   4666853   13104
128   52   2.889440   192   128   1800   4676306   10920
128   52   2.860555   224   128   1800   4765674   9360
128   52   2.900886   256   128   1800   4678328   8192
128   52   2.870646   288   128   1800   4761146   7280
128   52   2.871706   320   128   1800   4873315   6552
128   51   2.847592   32   96   1400   4723314   65535
128   51   2.868182   64   96   1400   4689494   32766
128   51   3.089242   96   96   1400   4366021   21843
128   51   2.980335   128   96   1400   4521994   16383
128   51   2.867430   160   96   1400   4696957   13107
128   51   2.868268   192   96   1400   4705210   10920
128   51   2.858094   224   96   1400   4721601   9360
128   51   2.837021   256   96   1400   4775532   8190
128   51   2.828970   288   96   1400   4843393   7281
128   51   2.828261   320   96   1400   4824281   6552
128   50   2.823041   32   160   2300   4764329   65535
128   50   2.847121   64   160   2300   4728977   32765
128   50   2.851506   96   160   2300   4721172   21845
128   50   2.856007   128   160   2300   4722869   16380
