ALPHA  occ      thr    BS   SMEM   maxLat
   64    2  0.122608   64  12288   256679504
   64    3  0.182299   96  12288   172671472
   64    4  0.242207  128  12288   129983259
   64    5  0.278493  160  12288   113043246
   64    6  0.334289   96   6144   94191217
   64    7  0.384487  224  12288   81934240
   64    8  0.438785  128   6144   71797958
   64    9  0.492826   96   4096   63956659
   64   10  0.542296  160   6144   58112995
   64   11  0.630773   32   1030   49926929
   64   12  0.695714  128   4096   45324055
   64   13  0.754187   32    877   41751278
   64   14  0.777313  224   6144   40545973
   64   15  0.854669  160   4096   36904382
   64   16  0.916204  128   3072   34436217
   64   18  1.036900   96   2048   30419015
   64   20  1.182250  128   2050   26687258
   64   21  1.192830  224   4096   26463215
   64   22  1.297890   64   1030   24280661
   64   24  1.423130  128   2048   22154148
   64   25  1.465310  160   2050   21526787
   64   26  1.551450   64    877   20330132
   64   27  1.618410   96   1230   19489947
   64   28  1.681210  128   1540   18763488
   64   30  1.805910   96   1130   17473804
   64   32  1.938710  128   1536   16270354
   64   33  1.987710   96   1030   15872054
   64   35  2.082600  160   1540   15159717
   64   36  2.183470  128   1230   14464630
   64   39  2.334770   96    877   13515292
   64   40  2.407450  128   1130   13109121
   64   42  2.452570  192   1540   12875569
   64   44  2.623760  128   1030   12012208
   64   45  2.644930  160   1230   11931962
   64   48  2.801970  128   1024   11262988
   64   49  2.829550  224   1540   11161343
   64   50  2.873840  160   1130   10992802
   64   52  2.953810  128    877   10664806
   64   54  3.018290  192   1230   10457442
   64   55  3.056270  160   1030   10329077
   64   56  3.096710  128    769   10169873
   64   60  3.183280  160   1024   9909408
   64   63  3.231410  224   1230   9784987
   64   64  3.272090  128    768   9634764
