ALPHA  occ      thr    BS   SMEM   maxLat
  160    2  0.163677   64  12288   146616551
  160    3  0.243679   96  12288   98517628
  160    4  0.323192  128  12288   74334085
  160    5  0.393323  160  12288   61089769
  160    6  0.478487   96   6144   50226870
  160    7  0.546731  224  12288   43979715
  160    8  0.634277  128   6144   37939558
  160    9  0.714132   96   4096   33678021
  160   10  0.776298  160   6144   31001703
  160   11  0.869122   32   1030   27658179
  160   12  0.936312  128   4096   25744926
  160   13  1.028460   32    877   23399143
  160   14  1.079980  224   6144   22346140
  160   15  1.179340  160   4096   20450233
  160   16  1.282090  128   3072   18831148
  160   18  1.432440   96   2048   16858423
  160   20  1.650320  128   2050   14661598
  160   21  1.693140  224   4096   14285498
  160   22  1.809380   64   1030   13310793
  160   24  2.006290  128   2048   12074180
  160   25  2.078150  160   2050   11641218
  160   26  2.151870   64    877   11224291
  160   27  2.249920   96   1230   10749765
  160   28  2.361380  128   1540   10239614
  160   30  2.532350   96   1130   9610673
  160   32  2.739440  128   1536   8891957
  160   33  2.701950   96   1030   8926820
  160   35  2.843400  160   1540   8520728
  160   36  2.974840  128   1230   8136047
  160   39  3.022630   96    877   7998426
  160   40  3.103460  128   1130   7753446
  160   42  3.170030  192   1540   7644330
  160   44  3.200930  128   1030   7534554
  160   45  3.142930  160   1230   7672548
  160   48  3.291110  128   1024   7325343
  160   49  3.250970  224   1540   7425251
  160   50  3.252020  160   1130   7412743
  160   52  3.349640  128    877   7193830
  160   54  3.372590  192   1230   7160776
  160   55  3.338970  160   1030   7237068
  160   56  3.406080  128    769   7075122
  160   60  3.423570  160   1024   7057746
  160   63  3.452480  224   1230   7033157
  160   64  3.465930  128    768   6979892
