ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
96   64   3.448374   32   128   768   8344476   131072
96   64   3.448972   64   128   768   8347788   65536
96   64   3.452436   96   128   768   8342614   43688
96   64   3.449347   128   128   768   8354322   32768
96   64   3.442318   160   128   768   8371125   26212
96   64   3.436350   192   128   768   8393007   21844
96   64   3.432358   224   128   768   8420492   18724
96   64   3.443695   256   128   768   8385842   16384
96   64   3.426810   288   128   768   8530292   14560
96   64   3.450252   320   128   768   8406463   13104
96   63   3.424526   32   224   1230   8401041   131068
96   63   3.413954   64   224   1230   8433220   65534
96   63   3.435640   96   224   1230   8400303   43687
96   63   3.418095   128   224   1230   8447671   32767
96   63   3.438593   160   224   1230   8402451   26208
96   63   3.421024   192   224   1230   8449137   21840
96   63   3.404779   224   224   1230   8514790   18718
96   63   3.392711   256   224   1230   8519276   16380
96   63   3.381411   288   224   1230   8550228   14560
96   63   3.418389   320   224   1230   8486275   13104
96   60   3.365233   32   160   1024   8549540   131070
96   60   3.371356   64   160   1024   8537088   65535
96   60   3.375611   96   160   1024   8528219   43690
96   60   3.366524   128   160   1024   8561412   32765
96   60   3.362322   160   160   1024   8571687   26210
96   60   3.383381   192   160   1024   8528373   21845
96   60   3.383745   224   160   1024   8596753   18720
96   60   3.358592   256   160   1024   8610913   16380
96   60   3.330830   288   160   1024   8650784   14560
96   60   3.355171   320   160   1024   8593380   13105
96   56   3.324492   32   128   769   8655003   131072
96   56   3.330015   64   128   769   8641109   65536
96   56   3.377811   96   128   769   8524558   43688
96   56   3.338768   128   128   769   8626617   32768
96   56   3.314737   160   128   769   8688526   26212
96   56   3.305983   192   128   769   8710277   21844
96   56   3.306066   224   128   769   8713894   18724
96   56   3.282735   256   128   769   8799605   16384
96   56   3.348415   288   128   769   8702526   14560
96   56   3.374715   320   128   769   8561654   13104
96   55   3.276279   32   160   1030   8782136   131070
96   55   3.286637   64   160   1030   8760891   65535
96   55   3.277534   96   160   1030   8781326   43690
96   55   3.265158   128   160   1030   8818903   32765
96   55   3.264572   160   160   1030   8832892   26210
96   55   3.270744   192   160   1030   8827957   21845
96   55   3.265204   224   160   1030   8937269   18720
96   55   3.227504   256   160   1030   8983873   16380
96   55   3.262555   288   160   1030   8842377   14560
96   55   3.235279   320   160   1030   9038716   13105
96   54   3.300755   32   192   1230   8718432   131070
96   54   3.295784   64   192   1230   8736929   65532
96   54   3.287554   96   192   1230   8758016   43686
96   54   3.268654   128   192   1230   8821514   32766
96   54   3.261053   160   192   1230   8855200   26214
96   54   3.258444   192   192   1230   8844773   21840
96   54   3.258921   224   192   1230   8842358   18720
96   54   3.238347   256   192   1230   8907973   16380
96   54   3.215344   288   192   1230   9010362   14562
96   54   3.206652   320   192   1230   9006621   13104
96   52   3.249820   32   128   877   8852558   131072
96   52   3.250108   64   128   877   8853544   65536
96   52   3.241765   96   128   877   8876158   43688
96   52   3.235294   128   128   877   8900081   32768
96   52   3.222181   160   128   877   8947007   26212
96   52   3.215672   192   128   877   8957809   21844
96   52   3.169235   224   128   877   9094726   18724
96   52   3.236125   256   128   877   8919368   16384
96   52   3.265807   288   128   877   8850324   14560
96   52   3.257034   320   128   877   8862861   13104
96   50   3.167447   32   160   1130   9083512   131070
