ALPHA  occ      thr    BS   SMEM   maxLat
   32    2  0.088265   64  12288   178272917
   32    3  0.131927   96  12288   119285463
   32    4  0.174149  128  12288   90394272
   32    5  0.197652  160  12288   79675674
   32    6  0.238090   96   6144   66144552
   32    7  0.275687  224  12288   57139689
   32    8  0.316377  128   6144   49795380
   32    9  0.354187   96   4096   44487956
   32   10  0.393930  160   6144   39977885
   32   11  0.451595   32   1030   34845307
   32   12  0.485505  128   4096   32456858
   32   13  0.539858   32    877   29148011
   32   14  0.551511  224   6144   28571139
   32   15  0.611710  160   4096   25773705
   32   16  0.666739  128   3072   23642803
   32   18  0.750282   96   2048   20999834
   32   20  0.827430  128   2050   19061449
   32   21  0.856426  224   4096   18415448
   32   22  0.911856   64   1030   17279316
   32   24  0.978845  128   2048   16105117
   32   25  1.011930  160   2050   15581956
   32   26  1.048020   64    877   15042719
   32   27  1.084850   96   1230   14537190
   32   28  1.102020  128   1540   14311158
   32   30  1.147630   96   1130   13742988
   32   32  1.208170  128   1536   13046282
   32   33  1.234710   96   1030   12768348
   32   35  1.300630  160   1540   12136619
   32   36  1.344280  128   1230   11725576
   32   39  1.444170   96    877   10906589
   32   40  1.468510  128   1130   10725025
   32   42  1.513570  192   1540   10430298
   32   44  1.594040  128   1030   9878927
   32   45  1.629550  160   1230   9679990
   32   48  1.720380  128   1024   9153223
   32   49  1.752920  224   1540   9008356
   32   50  1.795900  160   1130   8773826
   32   52  1.839140  128    877   8570390
   32   54  1.911300  192   1230   8261956
   32   55  1.912840  160   1030   8236965
   32   56  1.944220  128    769   8106447
   32   60  1.975710  160   1024   7981738
   32   63  2.016350  224   1230   7842298
   32   64  1.948030  128    768   8086958
