ALPHA  occ      thr    BS   SMEM   maxLat
  128    2  0.155422   64  12288   123506334
  128    3  0.231408   96  12288   82991873
  128    4  0.306731  128  12288   62652156
  128    5  0.368688  160  12288   52147704
  128    6  0.447125   96   6144   43008311
  128    7  0.512596  224  12288   37546488
  128    8  0.592815  128   6144   32471126
  128    9  0.671993   96   4096   28632248
  128   10  0.730270  160   6144   26340804
  128   11  0.821076   32   1030   23433711
  128   12  0.890174  128   4096   21663433
  128   13  0.976002   32    877   19744975
  128   14  1.000480  224   6144   19301516
  128   15  1.102520  160   4096   17501883
  128   16  1.186200  128   3072   16296556
  128   18  1.353720   96   2048   14273528
  128   20  1.568750  128   2050   12313562
  128   21  1.585930  224   4096   12199688
  128   22  1.697210   64   1030   11350897
  128   24  1.896520  128   2048   10204489
  128   25  1.967190  160   2050   9845254
  128   26  2.058350   64    877   9389785
  128   27  2.133140   96   1230   9071046
  128   28  2.227110  128   1540   8678068
  128   30  2.385920   96   1130   8175678
  128   32  2.575650  128   1536   7567958
  128   33  2.567980   96   1030   7521713
  128   35  2.705020  160   1540   7159342
  128   36  2.803770  128   1230   6878710
  128   39  2.903950   96    877   6666116
  128   40  2.975980  128   1130   6480451
  128   42  3.016380  192   1540   6435851
  128   44  3.117660  128   1030   6187756
  128   45  3.082370  160   1230   6272158
  128   48  3.242200  128   1024   5947976
  128   49  3.202420  224   1540   6038423
  128   50  3.204490  160   1130   6026369
  128   52  3.312560  128    877   5835878
  128   54  3.329790  192   1230   5811102
  128   55  3.305790  160   1030   5856364
  128   56  3.363500  128    769   5723901
  128   60  3.404310  160   1024   5681556
  128   63  3.436900  224   1230   5655815
  128   64  3.453310  128    768   5600496
