ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
160   45   2.995654   256   160   2500   5776472   8190
160   45   2.967090   288   160   2500   5798001   7280
160   45   2.964357   320   160   2500   5717639   6550
160   44   2.991874   32   128   2049   5623491   65536
160   44   3.021602   64   128   2049   5576100   32768
160   44   3.017027   96   128   2049   5586443   21844
160   44   3.035694   128   128   2049   5549292   16384
160   44   3.020282   160   128   2049   5590663   13104
160   44   3.041621   192   128   2049   5556107   10920
160   44   3.047239   224   128   2049   5548842   9360
160   44   3.032645   256   128   2049   5755227   8192
160   44   3.041207   288   128   2049   5820783   7280
160   44   3.032452   320   128   2049   5775376   6552
160   42   2.984587   32   96   1700   5641969   65535
160   42   3.003896   64   96   1700   5604550   32766
160   42   3.058031   96   96   1700   5504228   21843
160   42   3.024722   128   96   1700   5580008   16383
160   42   3.022112   160   96   1700   5583914   13107
160   42   3.026189   192   96   1700   5576946   10920
160   42   3.066616   224   96   1700   5515364   9360
160   42   3.037914   256   96   1700   5558813   8190
160   42   3.033829   288   96   1700   5588868   7281
160   42   3.034472   320   96   1700   5595768   6552
160   40   2.973691   32   128   2300   5654776   65536
160   40   2.999507   64   128   2300   5612085   32768
160   40   2.994287   96   128   2300   5630554   21844
160   40   3.080471   128   128   2300   5478923   16384
160   40   2.993181   160   128   2300   5634654   13104
160   40   3.027564   192   128   2300   5577863   10920
160   40   3.028710   224   128   2300   5604314   9360
160   40   3.034652   256   128   2300   5750280   8192
160   40   2.996449   288   128   2300   5814592   7280
160   40   2.996266   320   128   2300   5835148   6552
160   39   2.983285   32   96   1800   5639146   65535
160   39   2.996315   64   96   1800   5618043   32766
160   39   3.005226   96   96   1800   5596311   21843
160   39   3.004160   128   96   1800   5605211   16383
160   39   2.996359   160   96   1800   5624518   13107
160   39   3.004007   192   96   1800   5657121   10920
160   39   2.975798   224   96   1800   5696240   9360
160   39   3.009603   256   96   1800   5657173   8190
160   39   3.007327   288   96   1800   5786624   7281
160   39   2.995297   320   96   1800   5817942   6552
160   38   2.963795   32   64   1250   5674867   65536
160   38   3.003201   64   64   1250   5608374   32768
160   38   2.999551   96   64   1250   5615355   21844
160   38   3.016870   128   64   1250   5581544   16384
160   38   2.987820   160   64   1250   5640519   13106
160   38   2.991206   192   64   1250   5640352   10922
160   38   2.956080   224   64   1250   5733320   9362
160   38   3.085637   256   64   1250   5469688   8192
160   38   2.981429   288   64   1250   5686045   7280
160   38   2.972926   320   64   1250   5725468   6552
