ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
64   64   1.595251   32   128   1536   4213081   65536
64   64   1.608114   64   128   1536   4180410   32768
64   64   1.471083   96   128   1536   4571314   21844
64   64   1.612110   128   128   1536   4171124   16384
64   64   1.469587   160   128   1536   4597179   13104
64   64   1.617629   192   128   1536   4167084   10920
64   64   1.617577   224   128   1536   4202266   9360
64   64   1.635611   256   128   1536   4177571   8192
64   64   1.633428   288   128   1536   4155197   7280
64   64   1.624155   320   128   1536   4400523   6552
64   63   1.456156   32   224   2500   4615416   65534
64   63   1.471395   64   224   2500   4570487   32767
64   63   1.479368   96   224   2500   4552364   21840
64   63   1.434128   128   224   2500   4703941   16380
64   63   1.442193   160   224   2500   4700601   13104
64   63   1.642941   192   224   2500   4146444   10920
64   63   1.647762   224   224   2500   4197196   9359
64   63   1.648143   256   224   2500   4179782   8190
64   63   1.631454   288   224   2500   4140806   7280
64   63   1.634568   320   224   2500   4344938   6552
64   60   1.462579   32   160   2048   4592899   65535
64   60   1.611330   64   160   2048   4172115   32765
64   60   1.744489   96   160   2048   3857210   21845
64   60   1.614828   128   160   2048   4163447   16380
64   60   1.610093   160   160   2048   4177586   13105
64   60   1.613016   192   160   2048   4234921   10920
64   60   1.621257   224   160   2048   4174556   9360
64   60   1.627740   256   160   2048   4151327   8190
64   60   1.618606   288   160   2048   4363007   7280
64   60   1.478792   320   160   2048   4711232   6550
64   58   1.579876   32   64   820   4253094   65536
64   58   1.595436   64   64   820   4211849   32768
64   58   1.597982   96   64   820   4207151   21844
64   58   1.501729   128   64   820   4486308   16384
64   58   1.597291   160   64   820   4214616   13106
64   58   1.462045   192   64   820   4610995   10922
64   58   1.583170   224   64   820   4320963   9362
64   58   1.418489   256   64   820   4812733   8192
64   58   1.417065   288   64   820   4782977   7280
64   58   1.606439   320   64   820   4213707   6552
64   57   1.598434   32   96   1250   4203368   65535
64   57   1.471644   64   96   1250   4567161   32766
64   57   1.608671   96   96   1250   4178980   21843
64   57   1.613055   128   96   1250   4167396   16383
64   57   1.608467   160   96   1250   4182271   13107
64   57   1.713587   192   96   1250   3929111   10920
64   57   1.467071   224   96   1250   4624098   9360
64   57   1.609771   256   96   1250   4245143   8190
64   57   1.470684   288   96   1250   4607425   7281
64   57   1.415666   320   96   1250   4757747   6552
64   56   1.464584   32   128   1700   4588318   65536
64   56   1.434050   64   128   1700   4685941   32768
64   56   1.512222   96   128   1700   4452687   21844
64   56   1.475578   128   128   1700   4559086   16384
64   56   1.439862   160   128   1700   4672121   13104
64   56   1.614949   192   128   1700   4164138   10920
64   56   1.619040   224   128   1700   4204231   9360
64   56   1.623685   256   128   1700   4205377   8192
64   56   1.498571   288   128   1700   4583858   7280
64   56   1.629295   320   128   1700   4162014   6552
64   55   1.465714   32   160   2049   4583713   65535
64   55   1.432166   64   160   2049   4691283   32765
64   55   1.439447   96   160   2049   4672539   21845
64   55   1.441500   128   160   2049   4660199   16380
64   55   1.484492   160   160   2049   4540852   13105
64   55   1.472477   192   160   2049   4573019   10920
64   55   1.618697   224   160   2049   4212406   9360
64   55   1.447791   256   160   2049   4711922   8190
64   55   1.497539   288   160   2049   4558599   7280
64   55   1.343083   320   160   2049   5030814   6550
64   54   1.592767   32   192   2500   4218288   65532
64   54   1.602436   64   192   2500   4195085   32766
64   54   1.607845   96   192   2500   4187705   21840
64   54   1.610948   128   192   2500   4185373   16380
64   54   1.603589   160   192   2500   4229366   13104
64   54   1.516240   192   192   2500   4508295   10920
64   54   1.621710   224   192   2500   4169845   9360
64   54   1.637700   256   192   2500   4186816   8190
64   54   1.490667   288   192   2500   4542007   7278
64   54   1.605458   320   192   2500   4360092   6552
64   52   1.429063   32   128   1800   4700484   65536
64   52   1.606515   64   128   1800   4183872   32768
64   52   1.608824   96   128   1800   4181117   21844
64   52   1.612671   128   128   1800   4169342   16384
64   52   1.405995   160   128   1800   4785246   13104
64   52   1.618860   192   128   1800   4179012   10920
64   52   1.606231   224   128   1800   4212924   9360
64   52   1.621441   256   128   1800   4149290   8192
64   52   1.442776   288   128   1800   4680213   7280
64   52   1.629933   320   128   1800   4270892   6552
64   51   1.428653   32   96   1400   4701091   65535
64   51   1.477636   64   96   1400   4548067   32766
64   51   1.474215   96   96   1400   4559287   21843
64   51   1.468671   128   96   1400   4585028   16383
64   51   1.575458   160   96   1400   4269327   13107
64   51   1.610467   192   96   1400   4175179   10920
64   51   1.598414   224   96   1400   4251233   9360
64   51   1.602576   256   96   1400   4301605   8190
64   51   1.587227   288   96   1400   4314800   7281
64   51   1.612691   320   96   1400   4261650   6552
64   50   1.472987   32   160   2300   4563166   65535
64   50   1.606052   64   160   2300   4184148   32765
64   50   1.470632   96   160   2300   4572841   21845
64   50   1.438349   128   160   2300   4674981   16380
64   50   1.607354   160   160   2300   4214990   13105
64   50   1.471475   192   160   2300   4580873   10920
64   50   1.610790   224   160   2300   4237558   9360
64   50   1.620049   256   160   2300   4279390   8190
64   50   1.445280   288   160   2300   4769921   7280
64   50   1.623412   320   160   2300   4215612   6550
64   49   1.604961   32   224   3073   4186224   65534
64   49   1.612903   64   224   3073   4169095   32767
64   49   1.610720   96   224   3073   4173416   21840
64   49   1.447395   128   224   3073   4650106   16380
64   49   1.340622   160   224   3073   5054581   13104
64   49   1.623703   192   224   3073   4247306   10920
64   49   1.753425   224   224   3073   3903194   9359
64   49   1.484994   256   224   3073   4587561   8190
64   49   1.488993   288   224   3073   4590269   7280
64   49   1.626108   320   224   3073   4186991   6552
64   48   1.431706   32   128   2048   4693021   65536
64   48   1.439658   64   128   2048   4669297   32768
64   48   1.439088   96   128   2048   4668817   21844
64   48   1.476838   128   128   2048   4557518   16384
64   48   1.609363   160   128   2048   4179010   13104
64   48   1.609587   192   128   2048   4199568   10920
64   48   1.482229   224   128   2048   4537974   9360
64   48   1.462245   256   128   2048   4647580   8192
64   48   1.458353   288   128   2048   4671105   7280
64   48   1.495116   320   128   2048   4510887   6552
64   45   1.419427   32   160   2500   4733329   65535
64   45   1.469860   64   160   2500   4570646   32765
64   45   1.596448   96   160   2500   4209600   21845
64   45   1.472646   128   160   2500   4571756   16380
64   45   1.607716   160   160   2500   4186882   13105
64   45   1.597670   192   160   2500   4281530   10920
64   45   1.603955   224   160   2500   4257041   9360
64   45   1.476210   256   160   2500   4685529   8190
64   45   1.604220   288   160   2500   4358829   7280
64   45   1.650624   320   160   2500   4210464   6550
64   44   1.589493   32   128   2049   4228002   65536
64   44   1.477764   64   128   2049   4546471   32768
64   44   1.595829   96   128   2049   4214318   21844
64   44   1.606600   128   128   2049   4185621   16384
64   44   1.599553   160   128   2049   4211678   13104
64   44   1.607173   192   128   2049   4206619   10920
64   44   1.443940   224   128   2049   4664061   9360
64   44   1.615091   256   128   2049   4246346   8192
64   44   1.437832   288   128   2049   4756200   7280
64   44   1.658710   320   128   2049   4138818   6552
64   42   1.447030   32   96   1700   4652667   65535
64   42   1.588474   64   96   1700   4231372   32766
64   42   1.426840   96   96   1700   4712682   21843
64   42   1.470401   128   96   1700   4573644   16383
64   42   1.424866   160   96   1700   4715729   13107
64   42   1.588782   192   96   1700   4243482   10920
64   42   1.330719   224   96   1700   5096740   9360
64   42   1.476159   256   96   1700   4571369   8190
64   42   1.600507   288   96   1700   4234203   7281
64   42   1.585071   320   96   1700   4250843   6552
64   40   1.320823   32   128   2300   5087491   65536
64   40   1.470832   64   128   2300   4571122   32768
64   40   1.580223   96   128   2300   4254636   21844
64   40   1.481725   128   128   2300   4540568   16384
64   40   1.590144   160   128   2300   4252453   13104
64   40   1.437191   192   128   2300   4683553   10920
64   40   1.597588   224   128   2300   4216427   9360
64   40   1.483457   256   128   2300   4643131   8192
64   40   1.608753   288   128   2300   4363361   7280
64   40   1.587240   320   128   2300   4371594   6552
64   39   1.546607   32   96   1800   4342859   65535
64   39   1.572671   64   96   1800   4272352   32766
64   39   1.579424   96   96   1800   4261698   21843
64   39   1.454282   128   96   1800   4636092   16383
64   39   1.568701   160   96   1800   4285732   13107
64   39   1.580899   192   96   1800   4274465   10920
64   39   1.564361   224   96   1800   4319516   9360
64   39   1.589376   256   96   1800   4279869   8190
64   39   1.589207   288   96   1800   4343767   7281
64   39   1.454345   320   96   1800   4706540   6552
64   38   1.538423   32   64   1250   4367289   65536
64   38   1.458091   64   64   1250   4608682   32768
64   38   1.423469   96   64   1250   4729055   21844
64   38   1.587909   128   64   1250   4232242   16384
64   38   1.550979   160   64   1250   4356022   13106
64   38   1.556577   192   64   1250   4329487   10922
64   38   1.295279   224   64   1250   5212334   9362
64   38   1.585127   256   64   1250   4248696   8192
64   38   1.564179   288   64   1250   4316383   7280
64   38   1.558217   320   64   1250   4335573   6552
64   36   1.543700   32   128   2500   4353416   65536
64   36   1.572322   64   128   2500   4275905   32768
64   36   1.569548   96   128   2500   4291445   21844
64   36   1.468870   128   128   2500   4589991   16384
64   36   1.653097   160   128   2500   4125632   13104
64   36   1.576494   192   128   2500   4338657   10920
64   36   1.580964   224   128   2500   4266542   9360
64   36   1.606820   256   128   2500   4277150   8192
64   36   1.569664   288   128   2500   4398575   7280
64   36   1.579672   320   128   2500   4437050   6552
64   35   1.295268   32   160   3073   5187904   65535
64   35   1.541734   64   160   3073   4361696   32765
64   35   1.404199   96   160   3073   4794703   21845
64   35   1.562750   128   160   3073   4321650   16380
64   35   1.611169   160   160   3073   4194706   13105
64   35   1.457555   192   160   3073   4641238   10920
64   35   1.409659   224   160   3073   4829650   9360
64   35   1.582035   256   160   3073   4285884   8190
64   35   1.558388   288   160   3073   4373859   7280
64   35   1.445602   320   160   3073   4737186   6550
64   34   1.517830   32   64   1400   4425556   65536
64   34   1.556834   64   64   1400   4316177   32768
64   34   1.537470   96   64   1400   4374744   21844
64   34   1.441617   128   64   1400   4669768   16384
64   34   1.417085   160   64   1400   4756079   13106
64   34   1.391572   192   64   1400   4883841   10922
64   34   1.306859   224   64   1400   5144463   9362
64   34   1.432092   256   64   1400   4793078   8192
64   34   1.618478   288   64   1400   4159183   7280
64   34   1.422617   320   64   1400   4727454   6552
64   33   1.528819   32   96   2049   4395720   65535
64   33   1.427202   64   96   2049   4710007   32766
64   33   1.397281   96   96   2049   4816869   21843
64   33   1.434692   128   96   2049   4689606   16383
64   33   1.427387   160   96   2049   4714177   13107
64   33   1.438878   192   96   2049   4687066   10920
64   33   1.411756   224   96   2049   4825498   9360
64   33   1.436608   256   96   2049   4724826   8190
64   33   1.539946   288   96   2049   4513930   7281
64   33   1.431775   320   96   2049   4702118   6552
64   64   1.593444   32   128   1536   4216294   65536
64   64   1.469055   64   128   1536   4574895   32768
64   64   1.612396   96   128   1536   4168072   21844
64   64   1.468892   128   128   1536   4581176   16384
64   64   1.611377   160   128   1536   4188913   13104
64   64   1.436140   192   128   1536   4690490   10920
64   64   1.618459   224   128   1536   4202307   9360
64   64   1.634089   256   128   1536   4185081   8192
64   64   1.627607   288   128   1536   4169479   7280
64   64   1.479966   320   128   1536   4752940   6552
64   30   1.492249   32   96   2300   4503509   65535
64   30   1.502576   64   96   2300   4472388   32766
64   30   1.293688   96   96   2300   5199492   21843
64   30   1.371690   128   96   2300   4915393   16383
64   30   1.401047   160   96   2300   4803166   13107
64   30   1.512349   192   96   2300   4498616   10920
64   30   1.511807   224   96   2300   4480504   9360
64   30   1.489057   256   96   2300   4550280   8190
64   30   1.409453   288   96   2300   4926066   7281
64   30   1.512612   320   96   2300   4458033   6552
64   29   1.437699   32   32   820   4672989   65536
64   29   1.538542   64   32   820   4366399   32768
64   29   1.416507   96   32   820   4744800   21845
64   29   1.440623   128   32   820   4669405   16384
64   29   1.395659   160   32   820   4815245   13107
64   29   1.412020   192   32   820   4768056   10922
64   29   1.480634   224   32   820   4571395   9362
64   29   1.523047   256   32   820   4460659   8192
64   29   1.398601   288   32   820   4807981   7281
64   29   1.508151   320   32   820   4524159   6553
64   28   1.455051   32   128   3073   4617799   65536
64   28   1.388474   64   128   3073   4843693   32768
64   28   1.482256   96   128   3073   4560267   21844
64   28   1.404922   128   128   3073   4814891   16384
64   28   1.484294   160   128   3073   4565058   13104
64   28   1.400437   192   128   3073   4837631   10920
64   28   1.356547   224   128   3073   4971505   9360
64   28   1.381966   256   128   3073   4922335   8192
64   28   1.508069   288   128   3073   4507502   7280
64   28   1.510715   320   128   3073   4507368   6552
64   27   1.434940   32   96   2500   4682466   65535
64   27   1.360286   64   96   2500   4942830   32766
64   27   1.337367   96   96   2500   5030432   21843
64   27   1.538987   128   96   2500   4387729   16383
64   27   1.329334   160   96   2500   5106257   13107
64   27   1.465534   192   96   2500   4638485   10920
64   27   1.454720   224   96   2500   4671711   9360
