ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
96   64   2.167323   32   128   1536   4652436   65536
96   64   2.121151   64   128   1536   4755495   32768
96   64   2.121227   96   128   1536   4760097   21844
96   64   2.139816   128   128   1536   4722302   16384
96   64   2.085779   160   128   1536   4838435   13104
96   64   2.179069   192   128   1536   4646862   10920
96   64   2.174168   224   128   1536   4698785   9360
96   64   2.393929   256   128   1536   4316533   8192
96   64   2.082668   288   128   1536   4878548   7280
96   64   2.383520   320   128   1536   4456905   6552
96   63   2.177950   32   224   2500   4628013   65534
96   63   2.134249   64   224   2500   4731113   32767
96   63   2.000011   96   224   2500   5045338   21840
96   63   2.172463   128   224   2500   4656097   16380
96   63   2.382010   160   224   2500   4285501   13104
96   63   2.418480   192   224   2500   4231830   10920
96   63   2.420594   224   224   2500   4351342   9359
96   63   2.417217   256   224   2500   4281662   8190
96   63   2.405369   288   224   2500   4217808   7280
96   63   2.374619   320   224   2500   4441669   6552
96   60   2.355111   32   160   2048   4280723   65535
96   60   2.369127   64   160   2048   4259693   32765
96   60   2.378050   96   160   2048   4247318   21845
96   60   2.379023   128   160   2048   4252423   16380
96   60   2.376531   160   160   2048   4246661   13105
96   60   2.363931   192   160   2048   4340364   10920
96   60   2.381148   224   160   2048   4251689   9360
96   60   2.402309   256   160   2048   4222291   8190
96   60   2.509559   288   160   2048   4197883   7280
96   60   2.395433   320   160   2048   4415260   6550
96   58   2.329036   32   64   820   4329430   65536
96   58   2.349955   64   64   820   4293556   32768
96   58   2.347735   96   64   820   4297728   21844
96   58   2.356658   128   64   820   4280805   16384
96   58   2.328998   160   64   820   4340575   13106
96   58   2.337743   192   64   820   4323385   10922
96   58   2.311306   224   64   820   4430500   9362
96   58   2.317859   256   64   820   4434062   8192
96   58   2.303447   288   64   820   4447060   7280
96   58   2.351869   320   64   820   4375884   6552
96   57   2.352763   32   96   1250   4284459   65535
96   57   2.365688   64   96   1250   4262972   32766
96   57   2.369887   96   96   1250   4258026   21843
96   57   2.366024   128   96   1250   4266145   16383
96   57   2.349648   160   96   1250   4293565   13107
96   57   2.367300   192   96   1250   4269704   10920
96   57   2.331812   224   96   1250   4351168   9360
96   57   2.347243   256   96   1250   4353608   8190
96   57   2.363428   288   96   1250   4329688   7281
96   57   2.358623   320   96   1250   4286211   6552
96   56   2.361315   32   128   1700   4269343   65536
96   56   2.379063   64   128   1700   4240048   32768
96   56   2.539320   96   128   1700   3974530   21844
96   56   2.377234   128   128   1700   4249617   16384
96   56   2.368050   160   128   1700   4268105   13104
96   56   2.380226   192   128   1700   4246136   10920
96   56   2.384295   224   128   1700   4279888   9360
96   56   2.373068   256   128   1700   4330785   8192
96   56   2.385171   288   128   1700   4325815   7280
96   56   2.401829   320   128   1700   4229261   6552
96   55   2.344671   32   160   2049   4298896   65535
96   55   2.357624   64   160   2049   4277857   32765
96   55   2.359271   96   160   2049   4278787   21845
96   55   2.358741   128   160   2049   4283064   16380
