ALPHA  occ      thr    BS   SMEM   maxLat
  192    2  0.170083   64  12288   169281455
  192    3  0.252212   96  12288   114215906
  192    4  0.333995  128  12288   86286269
  192    5  0.409413  160  12288   70452695
  192    6  0.498912   96   6144   57800578
  192    7  0.572002  224  12288   50454836
  192    8  0.665837  128   6144   43373779
  192    9  0.739841   96   4096   38983859
  192   10  0.802251  160   6144   35972163
  192   11  0.909842   32   1030   31707495
  192   12  0.979752  128   4096   29492179
  192   13  1.065420   32    877   27118067
  192   14  1.126130  224   6144   25719363
  192   15  1.235330  160   4096   23432488
  192   16  1.344780  128   3072   21541882
  192   18  1.495360   96   2048   19384515
  192   20  1.727320  128   2050   16795191
  192   21  1.778060  224   4096   16333704
  192   22  1.870950   64   1030   15450563
  192   24  2.103200  128   2048   13797640
  192   25  2.153560  160   2050   13482094
  192   26  2.245280   64    877   12917978
  192   27  2.334810   96   1230   12401130
  192   28  2.494150  128   1540   11627875
  192   30  2.648090   96   1130   11047094
  192   32  2.809700  128   1536   10352273
  192   33  2.800180   96   1030   10334963
  192   35  2.945340  160   1540   9863016
  192   36  3.080170  128   1230   9420112
  192   39  3.099460   96    877   9370429
  192   40  3.181230  128   1130   9084285
  192   42  3.224640  192   1540   9012025
  192   44  3.258200  128   1030   8886982
  192   45  3.189050  160   1230   9063607
  192   48  3.326300  128   1024   8697948
  192   49  3.283320  224   1540   8832603
  192   50  3.273150  160   1130   8833819
  192   52  3.377290  128    877   8587380
  192   54  3.395260  192   1230   8534355
  192   55  3.353440  160   1030   8649328
  192   56  3.427570  128    769   8474091
  192   60  3.433880  160   1024   8444671
  192   63  3.455600  224   1230   8424193
  192   64  3.476660  128    768   8367336
