ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
160   64   3.480344   32   128   768   6894921   65536
160   64   3.491215   64   128   768   6877297   32768
160   64   3.483240   96   128   768   6907090   21844
160   64   3.486909   128   128   768   6902611   16384
160   64   3.492805   160   128   768   6952845   13104
160   64   3.513407   192   128   768   6993748   10920
160   64   3.479434   224   128   768   7015217   9360
160   64   3.407656   256   128   768   7076817   8192
160   64   3.408176   288   128   768   7123242   7280
160   64   3.416120   320   128   768   7055137   6552
160   63   3.472675   32   224   1230   6911816   65534
160   63   3.475790   64   224   1230   6920838   32767
160   63   3.494195   96   224   1230   6925788   21840
160   63   3.473889   128   224   1230   6924109   16380
160   63   3.476712   160   224   1230   6941394   13104
160   63   3.454706   192   224   1230   7033458   10920
160   63   3.465623   224   224   1230   7018990   9359
160   63   3.379249   256   224   1230   7143630   8190
160   63   3.415630   288   224   1230   7189859   7280
160   63   3.416339   320   224   1230   7321694   6552
160   60   3.436862   32   160   1024   6983085   65535
160   60   3.427902   64   160   1024   7011329   32765
160   60   3.429968   96   160   1024   7004435   21845
160   60   3.435621   128   160   1024   7050306   16380
160   60   3.451551   160   160   1024   7006303   13105
160   60   3.382867   192   160   1024   7153812   10920
160   60   3.404224   224   160   1024   7106879   9360
160   60   3.405203   256   160   1024   7112629   8190
160   60   3.429986   288   160   1024   7097744   7280
160   60   3.431546   320   160   1024   7050942   6550
160   56   3.430883   32   128   769   6993032   65536
160   56   3.411276   64   128   769   7036942   32768
160   56   3.402452   96   128   769   7075175   21844
160   56   3.419075   128   128   769   7036052   16384
160   56   3.413727   160   128   769   7058914   13104
160   56   3.452973   192   128   769   6979578   10920
160   56   3.435969   224   128   769   7020242   9360
160   56   3.379270   256   128   769   7136210   8192
160   56   3.343606   288   128   769   7191757   7280
160   56   3.371605   320   128   769   7223320   6552
160   55   3.388521   32   160   1030   7078145   65535
160   55   3.372204   64   160   1030   7121469   32765
160   55   3.364868   96   160   1030   7138825   21845
160   55   3.369364   128   160   1030   7175239   16380
160   55   3.339969   160   160   1030   7280883   13105
160   55   3.316696   192   160   1030   7289924   10920
160   55   3.318436   224   160   1030   7283675   9360
160   55   3.348206   256   160   1030   7240937   8190
160   55   3.289943   288   160   1030   7398071   7280
160   55   3.281518   320   160   1030   7363518   6550
160   54   3.422329   32   192   1230   7011227   65532
160   54   3.405916   64   192   1230   7050174   32766
160   54   3.408870   96   192   1230   7053679   21840
160   54   3.390695   128   192   1230   7102762   16380
160   54   3.345850   160   192   1230   7183177   13104
160   54   3.336133   192   192   1230   7248610   10920
160   54   3.365000   224   192   1230   7260761   9360
160   54   3.365357   256   192   1230   7167006   8190
160   54   3.325190   288   192   1230   7331391   7278
160   54   3.360514   320   192   1230   7198975   6552
160   52   3.396620   32   128   877   7061902   65536
160   52   3.353589   64   128   877   7154986   32768
160   52   3.349746   96   128   877   7167631   21844
160   52   3.359091   128   128   877   7159003   16384
160   52   3.352212   160   128   877   7200367   13104
160   52   3.375391   192   128   877   7215053   10920
160   52   3.367735   224   128   877   7153784   9360
160   52   3.267312   256   128   877   7352237   8192
160   52   3.351227   288   128   877   7224909   7280
160   52   3.323470   320   128   877   7248434   6552
160   50   3.314811   32   160   1130   7236981   65535
160   50   3.291197   64   160   1130   7298211   32765
