ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
32   55   1.910585   32   160   1030   8233363   215040
32   55   1.920652   64   160   1030   8191691   107520
32   55   1.893334   96   160   1030   8311182   71680
32   55   1.902455   128   160   1030   8274580   53760
32   55   1.924682   160   160   1030   8176741   43005
32   55   1.898451   192   160   1030   8295577   35840
32   55   1.881070   224   160   1030   8374492   30720
32   55   1.916757   256   160   1030   8229241   26880
32   55   1.921080   288   160   1030   8236371   23890
32   55   1.903366   320   160   1030   8286284   21500
32   54   1.846264   32   192   1230   8520216   215040
32   54   1.877253   64   192   1230   8382438   107520
32   54   1.970593   96   192   1230   7985812   71676
32   54   2.017414   128   192   1230   7804127   53760
32   54   1.902713   160   192   1230   8276150   43008
32   54   1.901225   192   192   1230   8284285   35838
32   54   1.905036   224   192   1230   8269629   30720
32   54   1.867225   256   192   1230   8450556   26880
32   54   1.887511   288   192   1230   8404181   23892
32   54   1.880305   320   192   1230   8475807   21504
32   52   1.805320   32   128   877   8713689   215040
32   52   1.852291   64   128   877   8494111   107520
32   52   1.852792   96   128   877   8492735   71680
32   52   1.856810   128   128   877   8474615   53760
32   52   1.859906   160   128   877   8464921   43008
32   52   1.833739   192   128   877   8585061   35840
32   52   1.821547   224   128   877   8684236   30720
32   52   1.853156   256   128   877   8502954   26880
32   52   1.787156   288   128   877   8953474   23892
32   52   1.849955   320   128   877   8523875   21504
32   50   1.770616   32   160   1130   8884993   215040
32   50   1.792300   64   160   1130   8778480   107520
32   50   1.802892   96   160   1130   8728646   71680
32   50   1.855587   128   160   1130   8483452   53760
32   50   1.800392   160   160   1130   8743084   43005
32   50   1.799660   192   160   1130   8751607   35840
32   50   1.802238   224   160   1130   8743898   30720
32   50   1.802458   256   160   1130   8745935   26880
32   50   1.800744   288   160   1130   8776017   23890
32   50   1.808971   320   160   1130   8727371   21500
32   49   1.727527   32   224   1540   9107567   215040
32   49   1.754690   64   224   1540   8967389   107520
32   49   1.761924   96   224   1540   8932352   71680
32   49   1.735350   128   224   1540   9070416   53760
32   49   1.742220   160   224   1540   9052870   43008
32   49   1.753623   192   224   1540   8991719   35840
32   49   1.776174   224   224   1540   8916131   30716
32   49   1.784131   256   224   1540   8919217   26880
32   49   1.730518   288   224   1540   9144121   23891
32   49   1.758273   320   224   1540   9046231   21504
32   48   1.699708   32   128   1024   9256300   215040
32   48   1.735636   64   128   1024   9065267   107520
32   48   1.738259   96   128   1024   9051159   71680
32   48   1.742647   128   128   1024   9030493   53760
32   48   1.686476   160   128   1024   9331806   43008
32   48   1.728694   192   128   1024   9104833   35840
32   48   1.741838   224   128   1024   9041543   30720
32   48   1.708125   256   128   1024   9217772   26880
32   48   1.742587   288   128   1024   9047182   23892
32   48   1.719815   320   128   1024   9184538   21504
32   45   1.598597   32   160   1230   9841278   215040
32   45   1.608056   64   160   1230   9785122   107520
32   45   1.633884   96   160   1230   9631252   71680
32   45   1.637933   128   160   1230   9608091   53760
32   45   1.614899   160   160   1230   9749161   43005
32   45   1.614165   192   160   1230   9755347   35840
32   45   1.601962   224   160   1230   9837405   30720
32   45   1.618281   256   160   1230   9739985   26880
32   45   1.643080   288   160   1230   9606894   23890
32   45   1.634294   320   160   1230   9757949   21500
32   44   1.576059   32   128   1030   9981764   215040
32   44   1.599034   64   128   1030   9839306   107520
32   44   1.587277   96   128   1030   9912420   71680
32   44   1.608350   128   128   1030   9784843   53760
32   44   1.590615   160   128   1030   9896310   43008
32   44   1.609342   192   128   1030   9785385   35840
32   44   1.592559   224   128   1030   9888896   30720
32   44   1.587900   256   128   1030   9919737   26880
32   44   1.591588   288   128   1030   9895748   23892
32   44   1.582344   320   128   1030   9984984   21504
32   42   1.475022   32   192   1540   10666159   215040
32   42   1.501178   64   192   1540   10481623   107520
32   42   1.507889   96   192   1540   10436876   71676
32   42   1.512556   128   192   1540   10406426   53760
32   42   1.517704   160   192   1540   10377072   43008
32   42   1.519216   192   192   1540   10368972   35838
32   42   1.508699   224   192   1540   10471273   30720
32   42   1.627606   256   192   1540   9740194   26880
32   42   1.489515   288   192   1540   10642476   23892
32   42   1.534484   320   192   1540   10329168   21504
32   40   1.446681   32   128   1130   10873539   215040
32   40   1.462778   64   128   1130   10754477   107520
32   40   1.475606   96   128   1130   10665006   71680
32   40   1.474614   128   128   1130   10671822   53760
32   40   1.442312   160   128   1130   10913928   43008
32   40   1.477443   192   128   1130   10654782   35840
32   40   1.481634   224   128   1130   10626321   30720
32   40   1.476373   256   128   1130   10667487   26880
32   40   1.480489   288   128   1130   10651395   23892
32   40   1.460573   320   128   1130   10836748   21504
32   39   1.428379   32   96   877   11013247   215040
32   39   1.429383   64   96   877   11005541   107520
32   39   1.439729   96   96   877   10929001   71679
32   39   1.458558   128   96   877   10787005   53760
32   39   1.460018   160   96   877   10776644   43008
32   39   1.444018   192   96   877   10898204   35838
32   39   1.434143   224   96   877   10990389   30720
32   39   1.434104   256   96   877   10995572   26880
32   39   1.442895   288   96   877   10916211   23892
32   39   1.460731   320   96   877   10812948   21504
32   36   1.369159   32   128   1230   11489859   215040
32   36   1.338813   64   128   1230   11751510   107520
32   36   1.348310   96   128   1230   11670968   71680
32   36   1.354592   128   128   1230   11619011   53760
32   36   1.351335   160   128   1230   11651386   43008
32   36   1.331361   192   128   1230   11817285   35840
32   36   1.336915   224   128   1230   11776005   30720
32   36   1.342310   256   128   1230   11737546   26880
32   36   1.358182   288   128   1230   11619570   23892
32   36   1.347429   320   128   1230   11801389   21504
32   35   1.248056   32   160   1540   12605582   215040
32   35   1.291935   64   160   1540   12181033   107520
32   35   1.283678   96   160   1540   12261042   71680
32   35   1.303614   128   160   1540   12074353   53760
32   35   1.307068   160   160   1540   12044378   43005
32   35   1.308450   192   160   1540   12040806   35840
32   35   1.312140   224   160   1540   12028790   30720
32   35   1.321536   256   160   1540   11997065   26880
32   35   1.319187   288   160   1540   12042569   23890
32   35   1.321175   320   160   1540   12002630   21500
32   33   1.224569   32   96   1030   12845876   215040
32   33   1.229398   64   96   1030   12797968   107520
32   33   1.239697   96   96   1030   12693719   71679
32   33   1.211207   128   96   1030   13001561   53760
32   33   1.213609   160   96   1030   12965013   43008
32   33   1.244967   192   96   1030   12645905   35838
32   33   1.227526   224   96   1030   12826620   30720
32   33   1.245029   256   96   1030   12641916   26880
32   33   1.216233   288   96   1030   13028457   23892
32   33   1.199513   320   96   1030   13202993   21504
32   32   1.191789   32   128   1536   13200430   215040
32   32   1.208200   64   128   1536   13021734   107520
32   32   1.207549   96   128   1536   13030431   71680
32   32   1.204124   128   128   1536   13071140   53760
32   32   1.207405   160   128   1536   13034362   43008
32   32   1.190197   192   128   1536   13217082   35840
32   32   1.236088   224   128   1536   12742780   30720
32   32   1.225258   256   128   1536   12854754   26880
32   32   1.225500   288   128   1536   12914729   23892
32   32   1.228535   320   128   1536   12908146   21504
32   30   1.157599   32   96   1130   13589838   215040
32   30   1.162574   64   96   1130   13532955   107520
32   30   1.156546   96   96   1130   13602537   71679
32   30   1.156571   128   96   1130   13602610   53760
32   30   1.158408   160   96   1130   13593700   43008
32   30   1.164519   192   96   1130   13520426   35838
32   30   1.166035   224   96   1130   13510501   30720
32   30   1.147932   256   96   1130   13750297   26880
32   30   1.167443   288   96   1130   13581341   23892
32   30   1.167450   320   96   1130   13547729   21504
32   28   1.073777   32   128   1540   14650090   215040
32   28   1.079507   64   128   1540   14574276   107520
32   28   1.111647   96   128   1540   14154884   71680
32   28   1.086072   128   128   1540   14489519   53760
32   28   1.112069   160   128   1540   14160263   43008
32   28   1.099051   192   128   1540   14320047   35840
32   28   1.105001   224   128   1540   14256859   30720
32   28   1.120427   256   128   1540   14107964   26880
32   28   1.118983   288   128   1540   14146635   23892
32   28   1.121429   320   128   1540   14124780   21504
32   27   1.079800   32   96   1230   14567956   215040
32   27   1.093121   64   96   1230   14391259   107520
32   27   1.097759   96   96   1230   14331323   71679
32   27   1.098112   128   96   1230   14330696   53760
32   27   1.099346   160   96   1230   14315413   43008
32   27   1.068722   192   96   1230   14726902   35838
32   27   1.103085   224   96   1230   14281562   30720
32   27   1.081705   256   96   1230   14639064   26880
32   27   1.108497   288   96   1230   14254037   23892
32   27   1.103552   320   96   1230   14355840   21504
32   26   1.038111   32   64   877   15153051   215040
32   26   1.056423   64   64   877   14892538   107520
32   26   1.032239   96   64   877   15242333   71680
32   26   1.064731   128   64   877   14780514   53760
32   26   1.063232   160   64   877   14799175   43008
32   26   1.064306   192   64   877   14790326   35840
32   26   1.066424   224   64   877   14761174   30720
32   26   1.068048   256   64   877   14813790   26880
32   26   1.066096   288   64   877   14843251   23892
32   26   1.067725   320   64   877   14790868   21504
32   25   0.990040   32   160   2050   15889188   215040
32   25   1.007944   64   160   2050   15609044   107520
32   25   1.015776   96   160   2050   15492214   71680
32   25   1.018555   128   160   2050   15457631   53760
32   25   1.020533   160   160   2050   15437561   43005
32   25   1.023798   192   160   2050   15427190   35840
32   25   0.973837   224   160   2050   16213910   30720
32   25   1.023818   256   160   2050   15449907   26880
32   64   1.934214   32   128   768   8134126   215040
32   64   1.980924   64   128   768   7943111   107520
32   64   1.970988   96   128   768   7984405   71680
32   64   1.975654   128   128   768   7969012   53760
32   64   1.929685   160   128   768   8155575   43008
32   64   1.926845   192   128   768   8169310   35840
32   64   1.964067   224   128   768   8016460   30720
32   64   1.959034   256   128   768   8044464   26880
32   64   1.910945   288   128   768   8242509   23892
32   64   1.927979   320   128   768   8210610   21504
32   63   2.006615   32   224   1230   7840906   215040
32   63   2.014210   64   224   1230   7812638   107520
32   63   2.028863   96   224   1230   7756923   71680
32   63   1.990423   128   224   1230   7909060   53760
32   63   2.017608   160   224   1230   7807021   43008
32   63   2.019064   192   224   1230   7804962   35840
32   63   2.025564   224   224   1230   7792791   30716
32   63   2.035376   256   224   1230   7817678   26880
32   63   1.993786   288   224   1230   8029848   23891
32   63   2.032005   320   224   1230   7851158   21504
32   60   1.971530   32   160   1024   7980155   215040
32   60   1.997781   64   160   1024   7875561   107520
32   60   1.968388   96   160   1024   7994798   71680
32   60   1.998773   128   160   1024   7875461   53760
32   60   1.998061   160   160   1024   7877681   43005
32   60   1.998850   192   160   1024   7877877   35840
32   60   1.946234   224   160   1024   8090780   30720
32   60   1.957958   256   160   1024   8064679   26880
